20180314170000;79834077832;79500539520;79646045024;783;0
20180314170001;79834077833;79500539521;79646045025;784;1
20180314170002;79834077834;79500539522;79646045026;785;2
20180314170003;79834077835;79500539523;79646045027;786;3
20180314170004;79834077836;79500539524;79646045028;787;0
20180314170005;79834077837;79500539525;79646045029;788;0
20180314170006;79834077838;79500539526;79646045030;789;3
20180314170007;79834077839;79500539527;79646045031;790;0
20180314170008;79834077840;79500539528;79646045032;791;1
20180314170009;79834077841;79500539529;79646045033;792;2
20180314170010;79834077842;79500539530;79646045034;793;3
20180314170011;79834077843;79500539531;79646045035;794;0
20180314170012;79834077844;79500539532;79646045036;795;1
20180314170013;79834077845;79500539533;79646045037;796;3
20180314170014;79834077846;79500539534;79646045038;797;2
20180314170015;79834077847;79500539535;79646045039;798;1
20180314170016;79834077848;79500539536;79646045040;799;2
20180314170017;79834077849;79500539537;79646045041;800;3
20180314170018;79834077850;79500539538;79646045042;801;1
20180314170019;79834077851;79500539539;79646045043;802;2
